Medication,ICD-10 Code
VEVYE 0.1% SOL,H04.125
VOQUEZNA 10MG TAB,K21.0
VOQUEZNA 10MG TAB,K21.9
VOQUEZNA 20 MG ORAL TABLET,K21.0
VOQUEZNA 20 MG ORAL TABLET,K21.9
VOQUEZNA 20MG TAB,K21.0
VRAYLAR 1.5 MG CAPSULE,F20.9
VRAYLAR 1.5 MG CAPSULE,F31.9
VRAYLAR 1.5 MG CAPSULE,F32.9
VRAYLAR 1.5 MG CAPSULE,F33.9
VRAYLAR 1.5 MG CAPSULE,F41.9
VTAMA 1% CRM,L20.9
VTAMA 1% CRM,L40.9
VYVANSE 40MG CAPSULE,F90.0
VYVANSE 40MG CAPSULE,F90.1
VYVANSE 40MG CAPSULE,F90.9
WELLBUTRIN XL 150 MG ORAL TABLET EXTENDED RELEASE 24 HOUR,F33.1
WELLBUTRIN XL 150 MG ORAL TABLET EXTENDED RELEASE 24 HOUR,F33.8
WELLBUTRIN XL 150 MG ORAL TABLET EXTENDED RELEASE 24 HOUR,F33.9
XDEMVY 0.25 % OPHTHALMIC SOLUTION,B88.0
XDEMVY 0.25 % OPHTHALMIC SOLUTION,H01.00
XHANCE 93MCG/ACT EXHU,J31.0
XHANCE 93MCG/ACT EXHU,J31.1
XHANCE 93MCG/ACT EXHU,J33.9
XIFAXAN 550MG TAB,K58.0
XIFAXAN 550MG TAB,K72.91
XIFAXAN 550MG TABS,K58.0
XIFAXAN 550MG TABS,K76.82
XIIDRA 5 % OPHTHALMIC SOLUTION,H04.121
XIIDRA 5 % OPHTHALMIC SOLUTION,H04.122
XIIDRA 5 % OPHTHALMIC SOLUTION,H04.123
ZAVZPRET 10 MG/ACT NASAL SOLUTION,G43.909
ZAVZPRET 10 MG/ACT NASAL SOLUTION,G43.919
ZAVZPRET 10 MG/ACT NASAL SOLUTION,G43.929
ZAVZPRET 10 MG/ACT NASAL SOLUTION,G43.939
ZORYVE 0.3 % EXTERNAL CREAM,L40.0
ZTLIDO 1.8% FILM,G53.0
ZTLIDO 1.8% PATCH,G53.0
Zepbound,E66.01
Zepbound,E66.3
Zepbound,E66.9
Zepbound,G47.33
