Medication,ICD-10 Code,ICD description
LIRAGLUTIDE 18 MG/3ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E11.8,E11.8 stands for Type 2 diabetes mellitus with other specified complications.
LIRAGLUTIDE 18 MG/3ML SUBCUTANEOUS SOLUTION PEN-INJECTOR,E11.9,E11.9 stands for Type 2 diabetes mellitus without complications.
LO LOESTRIN FE 1 MG-10 MCG /10 MCG TABLET,Z30.011,Z30.011 stands for Encounter for initial prescription of combined oral contraceptive.
LO LOESTRIN FE 1 MG-10 MCG /10 MCG TABLET,Z30.09,Z30.09 stands for Encounter for contraceptive management.
LO LOESTRIN FE 1 MG-10 MCG /10 MCG TABLET,Z30.41,Z30.41 stands for Encounter for initial prescription of contraceptive pills.
LYBALVI 10-10 MG ORAL TABLET,F20.9,"F20.9 stands for Schizophrenia, unspecified."
LYBALVI 10-10 MG ORAL TABLET,F31.13,"F31.13 stands for Bipolar I disorder, current episode mixed, moderate."
LYBALVI 10-10 MG ORAL TABLET,F31.14,"F31.14 stands for Bipolar I disorder, current episode mixed, severe, with psychotic features."
LYBALVI 10-10 MG ORAL TABLET,F31.9,"F31.9 stands for Bipolar affective disorder, unspecified."
LYBALVI 10-10 MG ORAL TABLET,F32.9,"F32.9 stands for Major depressive disorder, single episode, unspecified."
LYBALVI 10-10 MG ORAL TABLET,F33.9,"F33.9 stands for Major depressive disorder, single episode, unspecified."
LYBALVI 20-10 MG ORAL TABLET,F20.9,"F20.9 stands for Schizophrenia, unspecified."
LYBALVI 20-10 MG ORAL TABLET,F31.13,"F31.13 stands for Bipolar I disorder, current episode mixed, moderate."
LYBALVI 20-10 MG ORAL TABLET,F31.14,"F31.14 stands for Bipolar I disorder, current episode mixed, severe, with psychotic features."
LYBALVI 20-10 MG ORAL TABLET,F31.9,"F31.9 stands for Bipolar affective disorder, unspecified."
LYBALVI 5-10 MG ORAL TABLET,F20.9,"F20.9 stands for Schizophrenia, unspecified."
LYBALVI 5-10 MG ORAL TABLET,F31.9,"F31.9 stands for Bipolar affective disorder, unspecified."
Lidocaine 5% External Patch,G53.0,G53.0 stands for Trigeminal neuralgia.
METFORMIN HCL 625 MG ORAL TABLET,E11.65,E11.65 stands for Type 2 diabetes mellitus with hyperglycemia with foot ulcer.
METFORMIN HCL 625 MG ORAL TABLET,E11.69,E11.69 stands for Type 2 diabetes mellitus with other specified complications.
METFORMIN HCL 625 MG ORAL TABLET,E11.8,E11.8 stands for Type 2 diabetes mellitus with other specified complications.
METFORMIN HCL 625 MG ORAL TABLET,E11.9,E11.9 stands for Type 2 diabetes mellitus without complications.
MIEBO 1.338 GM/ML EYE SOLUTION,H04.121,"H04.121 stands for Blepharoconjunctivitis, unspecified eyelid, right eye."
MIEBO 1.338 GM/ML EYE SOLUTION,H04.122,"H04.122 stands for Blepharitis, unspecified eyelid, right eye."
MIEBO 1.338 GM/ML EYE SOLUTION,H04.123,"H04.123 stands for Hordeolum and chalazion of upper eyelid, right eye."
MIEBO 1.338 GM/ML OPHTHALMIC SOLUTION,H04.121,"H04.121 stands for Blepharoconjunctivitis, unspecified eyelid, right eye."
MIEBO 1.338 GM/ML OPHTHALMIC SOLUTION,H04.122,"H04.122 stands for Blepharitis, unspecified eyelid, right eye."
MIEBO 1.338 GM/ML OPHTHALMIC SOLUTION,H04.123,"H04.123 stands for Hordeolum and chalazion of upper eyelid, right eye."
MIRABEGRON ER 25 MG ORAL TABLET EXTENDED RELEASE 24 HOUR,N31.9,N31.9 stands for Unspecified disorder of bladder.
MIRABEGRON ER 25 MG ORAL TABLET EXTENDED RELEASE 24 HOUR,N32.81,N32.81 stands for Other specified disorders of bladder.
MIRABEGRON ER 25 MG ORAL TABLET EXTENDED RELEASE 24 HOUR,R32,R32 stands for Unspecified incontinence of urine.
MODAFINIL 100 MG ORAL TABLET,G47.26,G47.26 stands for Hypersomnia with long sleep time.
MODAFINIL 100 MG ORAL TABLET,G47.33,G47.33 stands for Obstructive sleep apnea (adult) (pediatric).
MODAFINIL 100 MG ORAL TABLET,G47.411,G47.411 stands for Narcolepsy without cataplexy.
MODAFINIL 100 MG ORAL TABLET,G47.419,"G47.419 stands for Narcolepsy without cataplexy, unspecified."
MOUNJARO,E11.22,E11.22 stands for Type 2 diabetes mellitus with diabetic nephropathy.
MOUNJARO,E11.42,E11.42 stands for Type 2 diabetes mellitus with diabetic nephropathy.
MOUNJARO,E11.65,E11.65 stands for Type 2 diabetes mellitus with hyperglycemia with foot ulcer.
MOUNJARO,E11.9,E11.9 stands for Type 2 diabetes mellitus without complications.
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N80.0,N80.0 stands for Endometriosis of uterus.
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N80.1,N80.1 stands for Endometriosis of uterus.
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N80.2,N80.2 stands for Endometriosis of ovary.
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N80.3,N80.3 stands for Endometrial polyp.
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N80.4,N80.4 stands for Endometriosis of rectovaginal septum and vagina.
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N80.5,N80.5 stands for Endometrial hyperplasia.
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N80.6,N80.6 stands for Endometriosis of ovary.
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N80.8,N80.8 stands for Other specified noninflammatory disorders of vagina.
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N80.9,"N80.9 stands for Endometriosis, unspecified."
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N92.0,N92.0 stands for Excessive and frequent menstruation with regular cycle.
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N92.1,N92.1 stands for Excessive and frequent menstruation with regular cycle.
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N92.4,"N92.4 stands for Amenorrhea, unspecified."
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N92.5,N92.5 stands for Excessive and frequent menstruation with regular cycle.
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N92.6,N92.6 stands for Excessive and frequent menstruation with regular cycle.
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N93.0,"N93.0 stands for Female genital prolapse, unspecified."
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N93.8,N93.8 stands for Other specified abnormal uterine and vaginal bleeding.
MYFEMBREE 40-1-0.5 MG ORAL TABLET,N93.9,N93.9 stands for Other abnormal uterine and vaginal bleeding.
NAPROXEN-ESOMEPRAZOLE 500-20MG TABLET,M06.9,"M06.9 stands for Rheumatoid arthritis, unspecified."
NAPROXEN-ESOMEPRAZOLE 500-20MG TABLET,M15.0,"M15.0 stands for Polyarthrosis, unspecified."
NAPROXEN-ESOMEPRAZOLE 500-20MG TABLET,M45.9,"M45.9 stands for Ankylosing spondylitis, unspecified."
NEXLIZET 180-10MG TAB,E78.0,E78.0 stands for Pure hypercholesterolemia.
NEXLIZET 180-10MG TAB,E78.2,E78.2 stands for Pure hypercholesterolemia.
NEXLIZET 180-10MG TAB,E78.4,E78.4 stands for Other hyperlipidemia.
NEXLIZET 180-10MG TAB,E78.5,"E78.5 stands for Hyperlipidemia, unspecified."
NEXLIZET 180-10MG TAB,I25.10,I25.10 stands for Atherosclerotic heart disease of native coronary artery without angina pectoris.
NEXLIZET 180-10MG TAB,I25.110,I25.110 stands for Atherosclerotic heart disease of native coronary artery with unstable angina.
NEXLIZET 180-10MG TAB,I25.119,I25.119 stands for Atherosclerotic heart disease of native coronary artery with unstable angina pectoris.
NEXLIZET 180-10MG TAB,I25.9,"I25.9 stands for Chronic ischemic heart disease, unspecified."
NEXTSTELLIS 3-14.2 MG ORAL TABLET,Z30.011,Z30.011 stands for Encounter for initial prescription of combined oral contraceptive.
NEXTSTELLIS 3-14.2 MG ORAL TABLET,Z30.9,Z30.9 stands for Encounter for contraceptive management.
NOVOLOG FLEXPEN 100U/ML INJ,E10.9,E10.9 stands for Type 1 diabetes mellitus without complications.
NOVOLOG FLEXPEN 100U/ML INJ,E11.9,E11.9 stands for Type 2 diabetes mellitus without complications.
NOVOLOG FLEXPEN 100U/ML INJ,E13.9,E13.9 stands for Other specified diabetes mellitus with other specified complication.
NUEDEXTA 20-10 MG ORAL CAPSULE,F48.2,F48.2 stands for Obsessive-compulsive disorder.
NURTEC 75 MG TABLET DISINTEGRATING,G43.009,"G43.009 stands for Migraine without aura, not intractable, without status migrainosus."
NURTEC 75 MG TABLET DISINTEGRATING,G43.019,"G43.019 stands for Migraine with aura, not intractable, without status migrainosus."
NURTEC 75 MG TABLET DISINTEGRATING,G43.909,"G43.909 stands for Migraine, unspecified, not intractable, without status migrainosus."
NURTEC ODT 75MG TAB,G43.009,"G43.009 stands for Migraine without aura, not intractable, without status migrainosus."
NURTEC ODT 75MG TAB,G43.019,"G43.019 stands for Migraine with aura, not intractable, without status migrainosus."
NURTEC ODT 75MG TAB,G43.909,"G43.909 stands for Migraine, unspecified, not intractable, without status migrainosus."
NexIUM DR 40MG CER,K21.9,K21.9 stands for Gastro-esophageal reflux disease without esophagitis.
NexIUM DR 40MG CER,K25.9,"K25.9 stands for Gastric ulcer, unspecified."
NexIUM DR 40MG CER,K26.9,K26.9 stands for Gastro-esophageal reflux disease without esophagitis.
NexIUM DR 40MG CER,K27.9,K27.9 stands for Gastro-esophageal reflux disease without esophagitis.
NexIUM DR 40MG CER,K29.70,"K29.70 stands for Gastritis, unspecified."
NexIUM DR 40MG CER,K29.71,K29.71 stands for Gastro-esophageal reflux disease with esophagitis.
NexIUM DR 40MG CER,K31.9,"K31.9 stands for Indigestion, unspecified."
OMEGA-3-ACID ETHYL ESTERS 1 GM ORAL CAPSULE,E78.1,E78.1 stands for Pure hypercholesterolemia.
OMEGA-3-ACID ETHYL ESTERS 1 GM ORAL CAPSULE,E78.2,E78.2 stands for Pure hypercholesterolemia.
OMEPRAZOLE 40 MG ORAL CAPSULE DELAYED RELEASE,K21.9,K21.9 stands for Gastro-esophageal reflux disease without esophagitis.
OMEPRAZOLE 40 MG ORAL CAPSULE DELAYED RELEASE,K25.9,"K25.9 stands for Gastric ulcer, unspecified."
OMEPRAZOLE 40 MG ORAL CAPSULE DELAYED RELEASE,K26.9,K26.9 stands for Gastro-esophageal reflux disease without esophagitis.
OMEPRAZOLE 40 MG ORAL CAPSULE DELAYED RELEASE,K27.9,K27.9 stands for Gastro-esophageal reflux disease without esophagitis.
OMEPRAZOLE 40 MG ORAL CAPSULE DELAYED RELEASE,K29.70,"K29.70 stands for Gastritis, unspecified."
OMEPRAZOLE 40 MG ORAL CAPSULE DELAYED RELEASE,K29.71,K29.71 stands for Gastro-esophageal reflux disease with esophagitis.
OMEPRAZOLE 40 MG ORAL CAPSULE DELAYED RELEASE,K31.9,"K31.9 stands for Indigestion, unspecified."
OPZELURA 1.5 % EXTERNAL CREAM,L20.9,"L20.9 stands for Atopic dermatitis, unspecified."
OPZELURA 1.5 % EXTERNAL CREAM,L80.9,"L80.9 stands for Vitiligo, unspecified."
OPZELURA 1.5% CRM,L20.9,"L20.9 stands for Atopic dermatitis, unspecified."
OPZELURA 1.5% CRM,L80,L80 stands for Vitiligo.
ORILISSA 150MG TABLET,N80.0,N80.0 stands for Endometriosis of uterus.
OSPHENA 60 MG ORAL TABLET,N94.1,N94.1 stands for Premenstrual tension syndrome.
OSPHENA 60 MG ORAL TABLET,N95.1,N95.1 stands for Postmenopausal atrophic vaginitis.
OSPHENA 60 MG ORAL TABLET,N95.2,N95.2 stands for Postmenopausal atrophic vaginitis.
OTEZLA 30MG TAB,L40.0,L40.0 stands for Psoriasis vulgaris.
OTEZLA 30MG TAB,L40.50,"L40.50 stands for Psoriasis, unspecified, generalized."
OZEMPIC (0.25 OR 0.5 MG/DOSE) 2 MG/3ML SUBCUTANEOUS SOLUTION PEN-INJECTOR OZEMPIC,E11.22,E11.22 stands for Type 2 diabetes mellitus with diabetic nephropathy.
OZEMPIC (0.25 OR 0.5 MG/DOSE) 2 MG/3ML SUBCUTANEOUS SOLUTION PEN-INJECTOR OZEMPIC,E11.42,E11.42 stands for Type 2 diabetes mellitus with diabetic nephropathy.
OZEMPIC (0.25 OR 0.5 MG/DOSE) 2 MG/3ML SUBCUTANEOUS SOLUTION PEN-INJECTOR OZEMPIC,E11.65,E11.65 stands for Type 2 diabetes mellitus with hyperglycemia with foot ulcer.
OZEMPIC (0.25 OR 0.5 MG/DOSE) 2 MG/3ML SUBCUTANEOUS SOLUTION PEN-INJECTOR OZEMPIC,E11.9,E11.9 stands for Type 2 diabetes mellitus without complications.
PHEXXI 1.8-1-0.4% GEL,Z30.430,Z30.430 stands for Encounter for insertion of vaginal ring (contraceptive).
PHEXXI 1.8-1-0.4% GEL,Z30.431,Z30.431 stands for Encounter for insertion of vaginal ring (contraceptive).
PHEXXI 1.8-1-0.4% GEL,Z30.49,"Z30.49 stands for Encounter for contraceptive management, unspecified."
PHEXXI 1.8-1-0.4% GEL,Z30.9,Z30.9 stands for Encounter for contraceptive management.
PRALUENT 150mg/1ml INJ,E78.0,E78.0 stands for Pure hypercholesterolemia.
PRALUENT 150mg/1ml INJ,E78.01,E78.01 stands for Pure hypercholesterolemia.
PRALUENT 150mg/1ml INJ,I25.10,I25.10 stands for Atherosclerotic heart disease of native coronary artery without angina pectoris.
PROCRIT 10000U/ML INJ,B20,B20 stands for Human immunodeficiency virus [HIV] disease.
PROCRIT 10000U/ML INJ,D61.1,D61.1 stands for Drug-induced aplastic anemia.
PROCRIT 10000U/ML INJ,D63.0,D63.0 stands for Anemia in chronic kidney disease.
PROCRIT 10000U/ML INJ,D64.81,D64.81 stands for Other specified anemias.
PROLIA 60MG INJ,M80.0,M80.0 stands for Age-related osteoporosis without current pathological fracture.
PROLIA 60MG INJ,M80.8,M80.8 stands for Other osteoporosis without current pathological fracture.
PROLIA 60MG INJ,M80.88,M80.88 stands for Other osteoporosis with current pathological fracture.
PROLIA 60MG INJ,M81.0,M81.0 stands for Postmenopausal osteoporosis.
PROLIA 60MG INJ,M81.6,"M81.6 stands for Osteoporosis of vertebra(e), other site."
PROLIA 60MG INJ,M81.8,M81.8 stands for Other osteoporosis without current pathological fracture.
QELBREE 200 MG ORAL CAPSULE EXTENDED RELEASE 24 HOUR,F90.0,"F90.0 stands for Attention-deficit hyperactivity disorder, predominantly inattentive type."
QELBREE 200 MG ORAL CAPSULE EXTENDED RELEASE 24 HOUR,F90.1,"F90.1 stands for Attention-deficit hyperactivity disorder, predominantly inattentive type."
QELBREE 200 MG ORAL CAPSULE EXTENDED RELEASE 24 HOUR,F90.2,"F90.2 stands for Attention-deficit hyperactivity disorder, predominantly inattentive type."
QSYMIA 15-92MG EXT-RELEASE CAPSULE,E66.01,E66.01 stands for Morbid (severe) obesity due to excess calories.
QSYMIA 15-92MG EXT-RELEASE CAPSULE,E66.09,"E66.09 stands for Obesity, unspecified."
QSYMIA 15-92MG EXT-RELEASE CAPSULE,E66.9,"E66.9 stands for Obesity, unspecified."
QSYMIA 7.5-46MG EXT-RELEASE CAPSULE,E66.01,E66.01 stands for Morbid (severe) obesity due to excess calories.
QSYMIA 7.5-46MG EXT-RELEASE CAPSULE,E66.812,E66.812 stands for Drug-induced obesity due to appetite stimulants.
QSYMIA 7.5-46MG EXT-RELEASE CAPSULE,E66.89,E66.89 stands for Other obesity.
QSYMIA 7.5-46MG EXT-RELEASE CAPSULE,E66.9,"E66.9 stands for Obesity, unspecified."
QULIPTA 60 MG ORAL TABLET,G43.009,"G43.009 stands for Migraine without aura, not intractable, without status migrainosus."
QULIPTA 60 MG ORAL TABLET,G43.019,"G43.019 stands for Migraine with aura, not intractable, without status migrainosus."
QULIPTA 60 MG ORAL TABLET,G43.909,"G43.909 stands for Migraine, unspecified, not intractable, without status migrainosus."
QUVIVIQ 25 MG ORAL TABLET,F51.01,"F51.01 stands for Nonorganic hypersomnia with excessive daytime sleepiness, without long sleep time."
QUVIVIQ 25 MG ORAL TABLET,G47.00,"G47.00 stands for Disorders of initiating and maintaining sleep, unspecified."
QUVIVIQ 25 MG ORAL TABLET,G47.01,G47.01 stands for Insomnia due to a known physiological condition.
QUVIVIQ 25 MG ORAL TABLET,G47.09,"G47.09 stands for Disorders of initiating and maintaining sleep, unspecified."
QUVIVIQ 50 MG ORAL TABLET,G47.00,"G47.00 stands for Disorders of initiating and maintaining sleep, unspecified."
QUVIVIQ 50 MG ORAL TABLET,G47.01,G47.01 stands for Insomnia due to a known physiological condition.
QUVIVIQ 50 MG ORAL TABLET,G47.09,"G47.09 stands for Disorders of initiating and maintaining sleep, unspecified."
RELISTOR 150MG TAB,K59.00,"K59.00 stands for Constipation, unspecified."
RELISTOR 150MG TAB,Z79.891,Z79.891 stands for Long-term (current) use of other medications.
REPATHA SURECLICK 140MG/ML INJ,E78.00,E78.00 stands for Pure hypercholesterolemia.
REPATHA SURECLICK 140MG/ML INJ,E78.01,E78.01 stands for Pure hypercholesterolemia.
REPATHA SURECLICK 140MG/ML INJ,E78.02,E78.02 stands for Pure hypercholesterolemia.
REPATHA SURECLICK 140MG/ML INJ,E78.5,"E78.5 stands for Hyperlipidemia, unspecified."
REPATHA SURECLICK 140MG/ML INJ,I25.10,I25.10 stands for Atherosclerotic heart disease of native coronary artery without angina pectoris.
RHOFADE 1% CRM,L71.0,L71.0 stands for Folliculitis decalvans.
RHOFADE 1% CRM,L71.9,"L71.9 stands for Folliculitis, unspecified."
RINVOQ 15 MG ORAL TABLET EXTENDED RELEASE 24 HOUR,L20.9,"L20.9 stands for Atopic dermatitis, unspecified."
RINVOQ 15 MG ORAL TABLET EXTENDED RELEASE 24 HOUR,M05.79,M05.79 stands for Rheumatoid arthritis with other involvement of other organs or systems.
RINVOQ 15 MG ORAL TABLET EXTENDED RELEASE 24 HOUR,M45.9,"M45.9 stands for Ankylosing spondylitis, unspecified."
RYBELSUS 7 MG ORAL TABLET,E11.65,E11.65 stands for Type 2 diabetes mellitus with hyperglycemia with foot ulcer.
RYBELSUS 7 MG ORAL TABLET,E11.69,E11.69 stands for Type 2 diabetes mellitus with other specified complications.
RYBELSUS 7 MG ORAL TABLET,E11.8,E11.8 stands for Type 2 diabetes mellitus with other specified complications.
RYBELSUS 7 MG ORAL TABLET,E11.9,E11.9 stands for Type 2 diabetes mellitus without complications.
SKYRIZI PEN 150 MG/ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR,K50.00,K50.00 stands for Crohn's disease of small intestine without complications.
SKYRIZI PEN 150 MG/ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR,K51.0,K51.0 stands for Ulcerative (chronic) pancolitis.
SKYRIZI PEN 150 MG/ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR,L40.0,L40.0 stands for Psoriasis vulgaris.
SKYRIZI PEN 150 MG/ML SUBCUTANEOUS SOLUTION AUTO-INJECTOR,M07.9,"M07.9 stands for Psoriatic arthropathy, unspecified."
SOTYKTU 6 MG ORAL TABLET,L40.0,L40.0 stands for Psoriasis vulgaris.
SOTYKTU 6 MG ORAL TABLET,L40.8,L40.8 stands for Other psoriasis.
SOTYKTU 6 MG ORAL TABLET,L40.9,"L40.9 stands for Psoriasis, unspecified."
STEGLATRO 15MG TAB,E11.9,E11.9 stands for Type 2 diabetes mellitus without complications.
Slynd 4mg Tablet,Z30.011,Z30.011 stands for Encounter for initial prescription of combined oral contraceptive.
Slynd 4mg Tablet,Z30.41,Z30.41 stands for Encounter for initial prescription of contraceptive pills.
Slynd 4mg Tablet,Z79.3,Z79.3 stands for Long-term (current) use of oral contraceptives.
TACROLIMUS 0.1 % EXTERNAL OINTMENT,L20.9,"L20.9 stands for Atopic dermatitis, unspecified."
TALICIA 250-12.5-10 MG ORAL CAPSULE DELAYED RELEASE,A04.81,A04.81 stands for Other specified bacterial intestinal infections.
TESTOSTERONE CYPIONATE 200 MG/ML INTRAMUSCULAR SOLUTION,E29.1,E29.1 stands for Testicular hypofunction.
TESTOSTERONE CYPIONATE 200 MG/ML INTRAMUSCULAR SOLUTION,E29.9,"E29.9 stands for Testicular hypofunction, unspecified."
TRETINOIN 0.025 % EXTERNAL CREAM,L70.0,L70.0 stands for Acne vulgaris.
TRETINOIN 0.025 % EXTERNAL CREAM,L70.9,"L70.9 stands for Acne, unspecified."
TRETINOIN 0.025% CRM,L70.0,L70.0 stands for Acne vulgaris.
TRETINOIN 0.025% CRM,L71.0,L71.0 stands for Folliculitis decalvans.
TRETINOIN 0.025% CRM,L71.9,"L71.9 stands for Folliculitis, unspecified."
TRETINOIN 0.05% CREAM,L70.0,L70.0 stands for Acne vulgaris.
TRETINOIN 0.05% CREAM,L71.0,L71.0 stands for Folliculitis decalvans.
TRETINOIN 0.05% CREAM,L71.9,"L71.9 stands for Folliculitis, unspecified."
TRULANCE 3 MG ORAL TABLET,K58.1,K58.1 stands for Irritable bowel syndrome with diarrhea.
TRULANCE 3 MG ORAL TABLET,K59.04,"K59.04 stands for Constipation, unspecified."
TRULICITY 1.5MG/0.5ML INJ,E11.65,E11.65 stands for Type 2 diabetes mellitus with hyperglycemia with foot ulcer.
TRULICITY 1.5MG/0.5ML INJ,E11.9,E11.9 stands for Type 2 diabetes mellitus without complications.
TWIRLA 120-30 MCG/24HR TRANSDERMAL PATCH WEEKLY,Z30.09,Z30.09 stands for Encounter for contraceptive management.
TWIRLA 120-30 MCG/24HR TRANSDERMAL PATCH WEEKLY,Z30.41,Z30.41 stands for Encounter for initial prescription of contraceptive pills.
TWIRLA 120-30 MCG/24HR TRANSDERMAL PATCH WEEKLY,Z79.3,Z79.3 stands for Long-term (current) use of oral contraceptives.
TYRVAYA 0.03 MG/ACT NASAL SOLUTION,H04.121,"H04.121 stands for Blepharoconjunctivitis, unspecified eyelid, right eye."
TYRVAYA 0.03 MG/ACT NASAL SOLUTION,H04.122,"H04.122 stands for Blepharitis, unspecified eyelid, right eye."
TYRVAYA 0.03 MG/ACT NASAL SOLUTION,H04.123,"H04.123 stands for Hordeolum and chalazion of upper eyelid, right eye."
UBRELVY 100 MG ORAL TABLET,G43.009,"G43.009 stands for Migraine without aura, not intractable, without status migrainosus."
UBRELVY 100 MG ORAL TABLET,G43.019,"G43.019 stands for Migraine with aura, not intractable, without status migrainosus."
UBRELVY 100 MG ORAL TABLET,G43.909,"G43.909 stands for Migraine, unspecified, not intractable, without status migrainosus."
URSODIOL 400MG CAP,K74.3,K74.3 stands for Primary biliary cholangitis.
URSODIOL 400MG CAP,K80.20,K80.20 stands for Calculus of gallbladder with other cholecystitis without obstruction.
URSODIOL 400MG CAP,K83.0,K83.0 stands for Cholangitis.
URSODIOL 400MG CAP,Z79.899,Z79.899 stands for Other long term (current) drug therapy.
VASCEPA 1GM CAP,E78.1,E78.1 stands for Pure hypercholesterolemia.
VASCEPA 1GM CAP,E78.2,E78.2 stands for Pure hypercholesterolemia.
VELPHORO 500MG CHEW,E83.52,E83.52 stands for Hypophosphatemia.
VELPHORO 500MG CHEW,N18.5,"N18.5 stands for Chronic kidney disease, stage 5."
VELPHORO 500MG CHEW,N18.6,N18.6 stands for End stage renal disease.
VEMLIDY 25 MG ORAL TABLET,B18.1,B18.1 stands for Chronic viral hepatitis C.
VEMLIDY 25 MG ORAL TABLET,B18.2,B18.2 stands for Chronic viral hepatitis C.
VEMLIDY 25 MG ORAL TABLET,B18.9,"B18.9 stands for Chronic viral hepatitis, unspecified."
VEMLIDY 25MG TAB,B18.1,B18.1 stands for Chronic viral hepatitis C.
VEMLIDY 25MG TAB,B18.9,"B18.9 stands for Chronic viral hepatitis, unspecified."
VEOZAH 45 MG ORAL TABLET,N95.1,N95.1 stands for Postmenopausal atrophic vaginitis.
VEVYE 0.1 % OPHTHALMIC SOLUTION,H04.123,"H04.123 stands for Hordeolum and chalazion of upper eyelid, right eye."
VEVYE 0.1 % OPHTHALMIC SOLUTION,H04.124,H04.124 stands for Hordeolum internum of right lower eyelid.
VEVYE 0.1 % OPHTHALMIC SOLUTION,H04.125,"H04.125 stands for Chalazion of upper eyelid, right eye."
VEVYE 0.1% SOL,H04.123,"H04.123 stands for Hordeolum and chalazion of upper eyelid, right eye."
VEVYE 0.1% SOL,H04.124,H04.124 stands for Hordeolum internum of right lower eyelid.
VEVYE 0.1% SOL,H04.125,"H04.125 stands for Chalazion of upper eyelid, right eye."
VOQUEZNA 10MG TAB,K21.0,K21.0 stands for Gastro-esophageal reflux disease with esophagitis.
VOQUEZNA 10MG TAB,K21.9,K21.9 stands for Gastro-esophageal reflux disease without esophagitis.
VOQUEZNA 20 MG ORAL TABLET,K21.0,K21.0 stands for Gastro-esophageal reflux disease with esophagitis.
VOQUEZNA 20 MG ORAL TABLET,K21.9,K21.9 stands for Gastro-esophageal reflux disease without esophagitis.
VOQUEZNA 20MG TAB,K21.0,K21.0 stands for Gastro-esophageal reflux disease with esophagitis.
VRAYLAR 1.5 MG CAPSULE,F20.9,"F20.9 stands for Schizophrenia, unspecified."
VRAYLAR 1.5 MG CAPSULE,F31.9,"F31.9 stands for Bipolar affective disorder, unspecified."
VRAYLAR 1.5 MG CAPSULE,F32.9,"F32.9 stands for Major depressive disorder, single episode, unspecified."
VRAYLAR 1.5 MG CAPSULE,F33.9,"F33.9 stands for Major depressive disorder, single episode, unspecified."
VRAYLAR 1.5 MG CAPSULE,F41.9,F41.9 stands for Generalized anxiety disorder.
VTAMA 1% CRM,L20.9,"L20.9 stands for Atopic dermatitis, unspecified."
VTAMA 1% CRM,L40.9,"L40.9 stands for Psoriasis, unspecified."
VYVANSE 40MG CAPSULE,F90.0,"F90.0 stands for Attention-deficit hyperactivity disorder, predominantly inattentive type."
VYVANSE 40MG CAPSULE,F90.1,"F90.1 stands for Attention-deficit hyperactivity disorder, predominantly inattentive type."
VYVANSE 40MG CAPSULE,F90.9,"F90.9 stands for Attention-deficit hyperactivity disorder, unspecified."
WELLBUTRIN XL 150 MG ORAL TABLET EXTENDED RELEASE 24 HOUR,F33.1,"F33.1 stands for Major depressive disorder, recurrent, moderate episode."
WELLBUTRIN XL 150 MG ORAL TABLET EXTENDED RELEASE 24 HOUR,F33.8,F33.8 stands for Other recurrent depressive disorders.
WELLBUTRIN XL 150 MG ORAL TABLET EXTENDED RELEASE 24 HOUR,F33.9,"F33.9 stands for Major depressive disorder, single episode, unspecified."
XDEMVY 0.25 % OPHTHALMIC SOLUTION,B88.0,"B88.0 stands for Pediculosis, unspecified."
XDEMVY 0.25 % OPHTHALMIC SOLUTION,H01.00,H01.00 stands for Hordeolum externum.
XHANCE 93MCG/ACT EXHU,J31.0,J31.0 stands for Chronic rhinitis.
XHANCE 93MCG/ACT EXHU,J31.1,"J31.1 stands for Chronic rhinitis, allergic, and vasomotor."
XHANCE 93MCG/ACT EXHU,J33.9,"J33.9 stands for Nasal polyp, unspecified."
XIFAXAN 550MG TAB,K58.0,K58.0 stands for Irritable bowel syndrome with diarrhea.
XIFAXAN 550MG TAB,K72.91,"K72.91 stands for Hepatic fibrosis, unspecified."
XIFAXAN 550MG TABS,K58.0,K58.0 stands for Irritable bowel syndrome with diarrhea.
XIFAXAN 550MG TABS,K76.82,K76.82 stands for Other specified diseases of liver.
XIIDRA 5 % OPHTHALMIC SOLUTION,H04.121,"H04.121 stands for Blepharoconjunctivitis, unspecified eyelid, right eye."
XIIDRA 5 % OPHTHALMIC SOLUTION,H04.122,"H04.122 stands for Blepharitis, unspecified eyelid, right eye."
XIIDRA 5 % OPHTHALMIC SOLUTION,H04.123,"H04.123 stands for Hordeolum and chalazion of upper eyelid, right eye."
ZAVZPRET 10 MG/ACT NASAL SOLUTION,G43.909,"G43.909 stands for Migraine, unspecified, not intractable, without status migrainosus."
